Food Category,Food Name,Stall Name,Price,Calories,Protein,Carbohydrates,Fat,Fiber,Sugar,Sodium,Egg-Free,Gluten Free,Dairy Free,Fish Free,Shellfish Free,Peanut free,Treenut Free,Soy Free,Wheat Free
Seafood Dishes,Crab Egg,PotDog,28,80,6,5,3,1,1,200,1,1,1,0,0,1,1,0,1
Seafood Dishes,Chicken Ball,PotDog,65,80,6,4,4,0,1,150,1,1,1,1,1,1,1,0,1
Seafood Dishes,Squid Ball,PotDog,28,70,6,3,3,0,1,200,1,1,1,0,0,1,1,0,1
Seafood Dishes,Fish Ball,PotDog,28,60,5,3,2,0,0,180,1,1,1,0,0,1,1,0,1
Side Dishes,Potato Wedges,PotDog,18,60,5,3,2,0,0,180,1,1,1,1,1,1,1,0,1
Side Dishes,Potato Slice,PotDog,75,150,2,20,7,2,1,300,1,1,1,1,1,1,1,0,1
Pork Dishes,Pork Siomai,PotDog,85,120,2,18,5,2,1,250,0,0,1,1,1,1,1,0,0
Seafood Dishes,Shark's Fin Siomai,?,39,80,6,3,5,0,1,180,0,0,1,1,1,1,1,0,0
Seafood Dishes,Japanese Siomai,?,39,80,6,4,4,0,1,180,0,0,1,1,1,1,1,0,0
Seafood Dishes,Mix Siomai,?,39,85,6,4,4,0,1,190,0,0,1,1,1,1,1,0,0
Noodle Dishes,Fried Noodles 2PCS. Siomai,?,39,85,6,4,4,0,1,190,0,0,1,1,1,1,1,0,0
Noodle Dishes,Jumbo Noodle 4PCS. Siomai,?,45,400,20,50,15,2,3,1000,0,0,1,1,1,1,1,0,0
Noodle Dishes,Fried Noodles Plain,?,69,500,30,60,20,3,4,1200,1,0,1,1,1,1,1,0,0
Salads,Mango Kani Roll 5PCS,?,30,300,10,50,10,2,1,800,1,1,1,0,0,1,1,0,1
Salads,Mango Kani Salad,?,120,200,8,25,8,2,6,400,1,1,1,0,0,1,1,0,1
Salads,Mango Kani Salad,?,100,150,5,18,7,3,6,350,1,1,1,0,0,1,1,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Rice,No name,,206,4.3,45,0.4,0.6,0.1,2,,,,,,,,,
